,setup,n,p,constant_eff,OLS,oracle_learner,TR,Samples means
1,A,100,6,constant,0.30107955,0.16076202,0.26822847,0.64062945
2,A,100,12,constant,0.32098459,0.1750575,0.21814605,0.58632354
3,A,200,6,constant,0.15783279,0.08335968,0.11167923,0.24948279
4,A,200,12,constant,0.17875665,0.07220247,0.10854114,0.28172057
5,A,500,6,constant,0.06657465,0.03533499,0.04399951,0.08142883
6,A,500,12,constant,0.0708534,0.02897089,0.03629362,0.09900175
7,A,1000,6,constant,0.02078674,0.0200195,0.01599465,0.06008236
8,A,1000,12,constant,0.02881054,0.01847594,0.02510293,0.05913661
9,B,100,6,constant,0.57168641,0.23654338,0.24229451,1.59366425
10,B,100,12,constant,0.62942793,0.24217174,0.38331246,1.52658676
11,B,200,6,constant,0.24201727,0.12035488,0.22198814,0.91088462
12,B,200,12,constant,0.24688898,0.09640842,0.18944645,1.02788951
13,B,500,6,constant,0.10831129,0.04179018,0.06799902,0.6329643
14,B,500,12,constant,0.11759565,0.04849131,0.0844372,0.74166328
15,B,1000,6,constant,0.0546765,0.01817223,0.03717994,0.72043985
16,B,1000,12,constant,0.06158937,0.02506632,0.04235635,0.63278398
17,C,100,6,constant,0.62454144,0.23190348,0.34306878,1.18986616
18,C,100,12,constant,0.66010287,0.21668286,0.4262348,1.35959139
19,C,200,6,constant,0.39036344,0.1165892,0.14342339,0.99846266
20,C,200,12,constant,0.33491144,0.11450385,0.187188,0.86352279
21,C,500,6,constant,0.31130321,0.03518168,0.03809828,0.71771057
22,C,500,12,constant,0.26833452,0.05395163,0.07019336,0.71242253
23,C,1000,6,constant,0.23347481,0.01610635,0.02208871,0.65018587
24,C,1000,12,constant,0.18690794,0.01880017,0.04113738,0.64538342
25,D,100,6,constant,21.57895924,0.12733848,16.59871318,36.18835705
26,D,100,12,constant,24.27483032,0.19109081,19.62050035,26.77155413
27,D,200,6,constant,11.41159847,0.06853547,8.61554626,16.72997066
28,D,200,12,constant,14.55711023,0.06927472,7.41803995,17.47383646
29,D,500,6,constant,5.32369091,0.03687707,3.47164678,5.27764461
30,D,500,12,constant,4.4215088,0.03950584,2.68194241,4.99476094
31,D,1000,6,constant,2.71518193,0.01695427,1.1040867,2.38389421
32,D,1000,12,constant,2.36443358,0.01729199,1.80927415,2.78655382