,setup,n,p,constant_eff,AIPW_partial.bias,AIPW_partial.covg,AIPW_partial.mse,AMLE_partial.bias,AMLE_partial.covg,AMLE_partial.mse,IPW.bias,IPW.covg,IPW.mse,OLS.bias,OLS.covg,OLS.mse,oracle_amle.bias,oracle_amle.covg,oracle_amle.mse
1,C,100,6,non_constant,-0.27,0.86,0.96,0.03,0.92,0.51,0.79,9999,1.36,-0.47,0.91,0.85,-0.09,9999,0.46
2,C,100,12,non_constant,-0.07,0.88,1.54,0.02,0.85,0.57,0.71,9999,1.53,-0.42,0.91,0.83,0.05,9999,0.5
3,C,200,6,non_constant,0.01,0.91,0.7,-0.07,0.93,0.43,0.68,9999,2.12,-0.39,0.9,0.55,-0.05,9999,0.34
4,C,200,12,non_constant,-0.36,0.89,1.72,-0.08,0.89,0.39,0.33,9999,2.62,-0.44,0.86,0.61,-0.02,9999,0.32
5,C,500,6,non_constant,0.02,0.97,0.31,0,0.92,0.22,0.61,9999,0.72,-0.38,0.71,0.51,0.01,9999,0.2
6,C,500,12,non_constant,-0.05,0.92,0.29,-0.08,0.95,0.23,0.62,9999,1.04,-0.42,0.77,0.49,0.03,9999,0.21
7,C,1000,6,non_constant,0.2,0.95,0.28,-0.04,0.91,0.17,0.42,9999,0.56,-0.43,0.46,0.47,-0.02,9999,0.14
8,C,1000,12,non_constant,-0.08,0.92,0.51,-0.1,0.88,0.19,0.48,9999,1.23,-0.42,0.49,0.47,0,9999,0.16
9,D,100,6,non_constant,2.04,0.78,10.3,-0.91,0.86,3.97,-39.62,9999,91.41,0.11,0.98,4.36,-0.05,9999,0.41
10,D,100,12,non_constant,0.71,0.8,12.85,-1.13,0.85,4.01,-25.96,9999,38.96,-0.88,0.98,4.65,-0.01,9999,0.43
11,D,200,6,non_constant,0.69,0.86,2.83,-0.67,0.86,2.26,-25.18,9999,25.48,0.34,0.98,3.2,-0.02,9999,0.29
12,D,200,12,non_constant,0.55,0.82,3.11,-0.35,0.95,2.28,-25.72,9999,26.18,-0.32,0.94,3.39,0,9999,0.31
13,D,500,6,non_constant,0.05,0.77,1.94,-0.27,0.98,1.09,-23.98,9999,28.44,0.08,0.93,2.41,-0.01,9999,0.19
14,D,500,12,non_constant,0.25,0.83,2.21,-0.36,0.98,1.15,-25.15,9999,25.31,0.06,0.97,2.13,0,9999,0.17
15,D,1000,6,non_constant,0.14,0.81,1.38,0,0.95,0.46,-24.97,9999,25.05,0.04,0.98,1.38,0,9999,0.12
16,D,1000,12,non_constant,-0.05,0.72,1,0.1,0.96,0.5,-24.38,9999,24.93,-0.05,0.9,1.8,-0.02,9999,0.14
17,E,100,6,non_constant,-0.75,0.84,2.58,-0.15,0.91,1.32,-13.4,9999,14.01,0.04,0.94,1.14,-0.03,9999,0.6
18,E,100,12,non_constant,-1.49,0.7,5.13,-0.1,0.88,1.19,-12.96,9999,16.86,0.07,0.96,1.14,0.01,9999,0.62
19,E,200,6,non_constant,-0.57,0.78,4.24,-0.07,0.92,0.77,-14.01,9999,14.2,-0.12,0.96,0.72,-0.03,9999,0.41
20,E,200,12,non_constant,-0.27,0.82,2.27,-0.18,0.86,0.73,-15.38,9999,22.07,0.02,0.95,0.79,0,9999,0.41
21,E,500,6,non_constant,-0.15,0.89,0.91,-0.13,0.88,0.42,-12.95,9999,14.04,-0.11,0.97,0.45,0.02,9999,0.24
22,E,500,12,non_constant,-0.01,0.76,0.61,-0.04,0.86,0.42,-13.67,9999,13.71,-0.1,0.96,0.48,-0.01,9999,0.23
23,E,1000,6,non_constant,0.21,0.9,1.95,-0.05,0.94,0.24,-13.14,9999,13.74,-0.15,0.95,0.32,-0.01,9999,0.18
24,E,1000,12,non_constant,-0.02,0.83,0.32,-0.1,0.91,0.26,-13.06,9999,13.1,-0.12,0.95,0.35,-0.01,9999,0.16
25,F,100,6,non_constant,0.01,0.88,0.78,0.07,0.93,0.55,-3.91,9999,5,0.33,0.92,0.61,0.11,9999,0.54
26,F,100,12,non_constant,0.09,0.87,2.65,0.06,0.91,0.53,-5.04,9999,7.67,0.26,0.96,0.59,0.08,9999,0.58
27,F,200,6,non_constant,-0.67,0.83,7.16,0.11,0.94,0.35,-4.04,9999,4.08,0.23,0.89,0.44,0.02,9999,0.38
28,F,200,12,non_constant,-0.06,0.86,0.45,0.08,0.99,0.37,-4.25,9999,4.54,0.23,0.92,0.42,0.02,9999,0.35
29,F,500,6,non_constant,-0.18,0.74,0.77,0.06,0.92,0.23,-3.93,9999,4.26,0.28,0.79,0.35,-0.01,9999,0.22
30,F,500,12,non_constant,0.01,0.83,0.32,0.09,0.93,0.24,-4.18,9999,4.2,0.33,0.63,0.42,0.03,9999,0.22
31,F,1000,6,non_constant,-0.02,0.84,0.38,0.03,0.95,0.15,-4.22,9999,4.29,0.3,0.57,0.35,0.01,9999,0.17
32,F,1000,12,non_constant,-0.01,0.88,0.33,0.04,0.91,0.16,-4.15,9999,4.17,0.26,0.64,0.31,0.04,9999,0.16